Name,Peak,Average,Peak Time
V_VAL_VCCCORE_PH1_0.002_R4D5,1.244471,0.137981,80.245000
I_VAL_VCCCORE_PH1_0.002_R4D5,7.532401,0.013416,80.246000
V_VAL_VCCCORE_PH2_0.002_R5D5,1.244065,0.137981,80.245000
I_VAL_VCCCORE_PH2_0.002_R5D5,6.651254,0.002107,80.251000
V_VAL_VCCCORE_PH3_0.002_R5D6,1.244337,0.137992,80.245000
I_VAL_VCCCORE_PH3_0.002_R5D6,5.623314,0.001755,80.245000
V_VAL_VCCCORE_PH4_0.002_R5D7,1.244590,0.137989,80.245000
I_VAL_VCCCORE_PH4_0.002_R5D7,6.671380,0.001692,80.245000
V_VAL_VCCCORE_PH5_0.002_R6D1,1.245445,0.137930,80.245000
I_VAL_VCCCORE_PH5_0.002_R6D1,0.103010,0.103010,0.000000
V_VAL_VSS_VCCCORE_SENSE_HDR_N,0.003945,0.000234,80.245000
V_VAL_VCC_VCCCORE_SENSE_HDR_P,1.209265,0.137026,80.245000
V_VAL_VCC_LP_ECORE_0.002_R4D6,1.131212,0.711173,80.229000
I_VAL_VCC_LP_ECORE_0.002_R4D6,9.696774,0.680823,80.209000
V_VAL_VSS_LP_ECORE_SENSE_HDR_N,0.003325,0.000403,80.245000
V_VAL_VCC_LP_ECORE_SENSE_HDR_P,1.116087,0.708981,80.229000
V_VAL_VCCSA_0.002_R3C22,1.042027,0.758401,80.236000
I_VAL_VCCSA_0.002_R3C22,2.598895,0.674666,80.199000
V_VAL_VSS_VCCSA_SENSE_HDR_N,0.003124,0.000351,80.245000
V_VAL_VCC_VCCSA_SENSE_HDR_P,1.036409,0.756752,80.236000
V_VAL_VDD2_CPU_0.002_R5G2,1.079607,1.076402,20.211000
I_VAL_VDD2_CPU_0.002_R5G2,1.408196,0.346398,80.245000
V_VAL_VDDQ_CPU_0.005_R5F23,0.530112,0.524654,118.445000
I_VAL_VDDQ_CPU_0.005_R5F23,0.331767,0.050250,134.006000
V_VAL_VCCGT_PH1_0.002_R3C23,0.721831,0.160001,154.957000
I_VAL_VCCGT_PH1_0.002_R3C23,5.400196,0.382348,17.505000
V_VAL_VCCGT_PH2_0.002_R2C16,0.721682,0.159943,154.957000
I_VAL_VCCGT_PH2_0.002_R2C16,1.772415,0.022703,88.015000
V_VAL_VSS_VCCGT_SENSE_HDR_N,0.002223,0.000234,80.244000
V_VAL_VCC_VCCGT_SENSE_HDR_P,0.720329,0.159031,154.957000
V_VAL_VCCST_0.002_R3P2,0.776166,0.774575,23.532000
I_VAL_VCCST_0.002_R3P2,0.077584,0.021769,80.237000
V_VAL_VCCPRIM_VNNAON_0.001_R3D1,0.783548,0.774846,54.478000
I_VAL_VCCPRIM_VNNAON_0.001_R3D1,1.428750,0.281444,57.393000
V_VAL_VSS_VCCPRIM_VNNAON_SENSE_HDR_N,0.001628,0.000217,80.245000
V_VAL_VCC_VCCPRIM_VNNAON_SENSE_HDR_P,0.782672,0.774061,54.478000
V_VAL_VCCPRIM_VNNAON_FLTR_0.01_R4R2,0.782746,0.774363,54.478000
I_VAL_VCCPRIM_VNNAON_FLTR_0.01_R4R2,0.041465,0.013037,37.654000
V_VAL_VCCPRIM_IO_0.004_R4D8,1.262642,1.253775,53.881000
I_VAL_VCCPRIM_IO_0.004_R4D8,0.406017,0.100397,129.182000
V_VAL_VSS_VCCPRIM_IO_SENSE_HDR_N,0.002741,0.000161,166.628000
V_VAL_VCC_VCCPRIM_IO_SENSE_HDR_P,1.262173,1.253026,17.449000
V_VAL_VCCPRIM_IO_FLTR_0.01_R4R1,1.262588,1.253566,30.456000
I_VAL_VCCPRIM_IO_FLTR_0.01_R4R1,0.009458,-0.000442,136.761000
V_VAL_VCCPRIM_3P3_0.022_R2E28,3.340241,3.312282,8.119000
I_VAL_VCCPRIM_3P3_0.022_R2E28,0.008152,-0.000066,47.855000
V_VAL_VCCPRIM_1P8_0.01_R2E52,1.799333,1.791830,155.262000
I_VAL_VCCPRIM_1P8_0.01_R2E52,0.009017,0.002375,118.981000
V_VAL_VCCPRIM_1P8_FLTRA_0.01_R2E69,1.798362,1.791769,82.348000
I_VAL_VCCPRIM_1P8_FLTRA_0.01_R2E69,0.030671,0.005365,122.371000
V_VAL_VCCPRIM_1P8_FLTRB_0.01_R2E33,1.798863,1.791881,82.348000
I_VAL_VCCPRIM_1P8_FLTRB_0.01_R2E33,0.006954,-0.000063,108.461000
V_VAL_VCCRTC_0.022_R2E36,1.501905,1.500545,145.465000
I_VAL_VCCRTC_0.022_R2E36,0.003746,0.000692,73.212000
V_VAL_VCCIO_TERM_V1P25_0.01_R2M29,1.262876,1.254243,12.179000
I_VAL_VCCIO_TERM_V1P25_0.01_R2M29,0.003424,-0.001850,97.447000
V_VAL_VDD2H_MEM_0.002_R5G3,1.086960,1.077152,162.250000
I_VAL_VDD2H_MEM_0.002_R5G3,1.477116,0.106344,80.245000
V_VAL_VDD2L_MEM_0.005_R5G7,0.929615,0.923362,135.905000
I_VAL_VDD2L_MEM_0.005_R5G7,0.442570,0.041355,152.472000
V_VAL_VDD1_MEM_0.005_R5G20,1.812729,1.803046,144.631000
I_VAL_VDD1_MEM_0.005_R5G20,0.302490,0.011590,116.649000
V_VAL_VDDQ_MEM_0.005_R5F24,0.533923,0.524719,100.223000
I_VAL_VDDQ_MEM_0.005_R5F24,0.561680,0.034424,46.139000
V_VAL_VCCCORE_VIN_0.002_R4B28,13.124483,13.032008,80.246000
I_VAL_VCCCORE_VIN_0.002_R4B28,2.606769,-0.001393,80.254000
V_VAL_V3P3S_CORE_0.01_R5C18,3.337574,3.311326,45.314000
I_VAL_V3P3S_CORE_0.01_R5C18,0.108887,0.005429,80.254000
V_VAL_VCC_LP_ECORE_VIN_0.002_R4C4,13.125344,13.031961,80.246000
I_VAL_VCC_LP_ECORE_VIN_0.002_R4C4,2.537474,0.041169,68.882000
V_VAL_V3P3S_LP_ECORE_0.01_R4C20,3.337698,3.311319,45.314000
I_VAL_V3P3S_LP_ECORE_0.01_R4C20,0.033072,0.004485,106.187000
V_VAL_VBATA_VCCIO_VR_IN_0.01_R4C7,13.140776,13.029217,80.246000
I_VAL_VBATA_VCCIO_VR_IN_0.01_R4C7,0.239753,0.010281,101.865000
V_VAL_V5A_IMVP_0.01_R5B37,5.167064,5.125585,138.247000
I_VAL_V5A_IMVP_0.01_R5B37,0.036305,0.006049,53.887000
V_VAL_VBATA_VNNAON_VR_IN_0.01_R4C6,13.142222,13.029155,80.246000
I_VAL_VBATA_VNNAON_VR_IN_0.01_R4C6,0.674978,0.019770,105.290000
V_VAL_VNNAON_VSYS_0.01_R4N20,5.167390,5.125737,8.712000
I_VAL_VNNAON_VSYS_0.01_R4N20,0.075568,0.001278,112.598000
V_VAL_VCCSA_VIN_0.002_R3B11,13.144175,13.031837,80.246000
I_VAL_VCCSA_VIN_0.002_R3B11,1.056378,0.036951,92.587000
V_VAL_V3P3S_SA_0.01_R3C7,3.337574,3.311263,56.374000
I_VAL_V3P3S_SA_0.01_R3C7,0.024938,0.002145,146.620000
V_VAL_VCCGT_VIN_0.002_R3B10,13.144801,13.031927,80.246000
I_VAL_VCCGT_VIN_0.002_R3B10,2.873836,0.015074,126.080000
V_VAL_V3P3S_GT_0.01_R3C15,3.337229,3.311257,103.875000
I_VAL_V3P3S_GT_0.01_R3C15,0.069278,0.002275,107.169000
V_VAL_V5A_TCSS_AIC1_0.005_R1M29,5.170158,5.128785,21.768000
I_VAL_V5A_TCSS_AIC1_0.005_R1M29,0.048454,0.007426,36.782000
V_VAL_V5A_TCSS_AIC2_0.005_R1P7,5.170465,5.128585,21.768000
I_VAL_V5A_TCSS_AIC2_0.005_R1P7,0.024755,-0.002320,166.335000
V_NC,8.638158,8.605633,80.246000
I_NC,0.099030,0.090815,80.246000
V_NC1,0.001740,0.000182,80.245000
I_NC1,0.102913,0.102913,0.000000
V_VAL_VBATA_VDD2H_VR_IN_0.005_R6F16,13.128967,13.029024,80.246000
I_VAL_VBATA_VDD2H_VR_IN_0.005_R6F16,0.818863,0.042996,92.256000
V_VAL_VIN_VDD2H_VR_VDD_0.005_R6U2,5.172116,5.128251,121.550000
I_VAL_VIN_VDD2H_VR_VDD_0.005_R6U2,0.052907,0.000276,95.989000
V_VAL_V5A_VDD2L_VR_IN_0.01_R5G8,5.172195,5.128216,121.550000
I_VAL_V5A_VDD2L_VR_IN_0.01_R5G8,0.236028,0.008890,167.798000
V_VAL_V5A_VDD1_VR_IN_0.01_R5H10,5.172470,5.128191,121.550000
I_VAL_V5A_VDD1_VR_IN_0.01_R5H10,0.310721,0.005043,165.555000
V_VAL_V5A_VDDQ_VR_IN_0.01_R6F18,5.169964,5.128288,40.107000
I_VAL_V5A_VDDQ_VR_IN_0.01_R6F18,0.235466,0.009052,127.689000
V_VAL_VBATA_V1P8A_IN_0.01_R1E27,13.140383,13.027632,80.246000
I_VAL_VBATA_V1P8A_IN_0.01_R1E27,0.420281,0.009684,91.115000
V_VAL_VBATA_V3P3A_VR_IN_0.002_R7H4,13.136743,13.024268,80.246000
I_VAL_VBATA_V3P3A_VR_IN_0.002_R7H4,6.527750,0.162547,0.326000
V_VAL_VBATA_V5A_VR_IN_0.002_R7H20,13.136883,13.024174,80.246000
I_VAL_VBATA_V5A_VR_IN_0.002_R7H20,4.573722,0.178781,173.273000
V_NC2,2.994427,2.950344,9.968000
I_NC2,0.102870,0.102033,0.000000
V_VAL_V3P3A_WLAN_0.005_R2M1,3.337898,3.310045,56.374000
I_VAL_V3P3A_WLAN_0.005_R2M1,1.080348,0.104771,28.631000
V_VAL_V1P8A_WWAN_0.01_R7F20,1.797975,1.791116,82.348000
I_VAL_V1P8A_WWAN_0.01_R7F20,0.023268,0.002982,40.433000
V_VAL_V3P3A_WWAN_0.005_R7G3,3.336290,3.312499,88.965000
I_VAL_V3P3A_WWAN_0.005_R7G3,0.483272,0.005726,55.225000
V_VAL_V5S_MCSI_CAMERA_0.01_R9B22,5.168910,5.119612,63.022000
I_VAL_V5S_MCSI_CAMERA_0.01_R9B22,0.010311,-0.002391,77.908000
V_VAL_V3P3S_MCSI_CAM1_0.01_R9B11,3.339187,3.312131,159.610000
I_VAL_V3P3S_MCSI_CAM1_0.01_R9B11,0.056924,-0.002172,72.272000
V_VAL_V3P3S_MCSI_CAM2_0.01_R9C26,3.337851,3.311538,55.906000
I_VAL_V3P3S_MCSI_CAM2_0.01_R9C26,0.261665,0.019127,13.124000
V_VAL_V1P8S_MCSI_CAM1_0.01_R9B9,1.796547,1.789509,96.283000
I_VAL_V1P8S_MCSI_CAM1_0.01_R9B9,0.007019,-0.002358,11.671000
V_VAL_V3P3S_PCIE_X4_SLOT_0.005_R7N17,3.365865,3.355238,77.899000
I_VAL_V3P3S_PCIE_X4_SLOT_0.005_R7N17,0.016119,0.001269,54.481000
V_VAL_V3P3A_PCIE_X8_SLOT_0.01_R6N3,3.338705,3.311658,7.296000
I_VAL_V3P3A_PCIE_X8_SLOT_0.01_R6N3,0.095026,0.000799,9.754000
V_VAL_V3P3S_PCIE_X8_SLOT_0.005_R6N2,3.337221,3.311542,6.350000
I_VAL_V3P3S_PCIE_X8_SLOT_0.005_R6N2,0.154883,0.001342,73.175000
V_VAL_V12S_PCIE_X8_SLOT_0.002_R7B33,11.991766,11.984596,117.607000
I_VAL_V12S_PCIE_X8_SLOT_0.002_R7B33,0.121474,-0.002027,29.774000
V_VAL_V3P3A_GEN5_SSD_0.005_R8P23,3.339030,3.312167,8.300000
I_VAL_V3P3A_GEN5_SSD_0.005_R8P23,0.085908,0.003436,164.403000
V_VAL_V1P8A_GEN5_SSD_0.01_R8P13,1.797905,1.791057,136.727000
I_VAL_V1P8A_GEN5_SSD_0.01_R8P13,0.007716,-0.001784,177.321000
V_VAL_V3P3A_GEN4_SSD_0.005_R9E17,3.337338,3.311084,8.300000
