Name,Peak,Average,Peak Time
V_VAL_VCCCORE_PH1_0.002_R4D5,1.249887,0.057859,149.426000
I_VAL_VCCCORE_PH1_0.002_R4D5,6.377388,0.001815,149.432000
V_VAL_VCCCORE_PH2_0.002_R5D5,1.249659,0.057877,149.426000
I_VAL_VCCCORE_PH2_0.002_R5D5,5.262501,0.001564,149.426000
V_VAL_VCCCORE_PH3_0.002_R5D6,1.249629,0.057880,149.426000
I_VAL_VCCCORE_PH3_0.002_R5D6,4.405399,0.001704,149.427000
V_VAL_VCCCORE_PH4_0.002_R5D7,1.249848,0.057861,149.426000
I_VAL_VCCCORE_PH4_0.002_R5D7,5.666250,0.001491,149.427000
V_VAL_VCCCORE_PH5_0.002_R6D1,1.264183,0.057897,149.426000
I_VAL_VCCCORE_PH5_0.002_R6D1,0.103010,0.103010,0.000000
V_VAL_VSS_VCCCORE_SENSE_HDR_N,0.003154,0.000340,149.426000
V_VAL_VCC_VCCCORE_SENSE_HDR_P,1.234543,0.057371,149.426000
V_VAL_VCC_LP_ECORE_0.002_R4D6,1.133452,0.713956,149.409000
I_VAL_VCC_LP_ECORE_0.002_R4D6,9.592281,0.671803,149.407000
V_VAL_VSS_LP_ECORE_SENSE_HDR_N,0.003037,0.000484,149.426000
V_VAL_VCC_LP_ECORE_SENSE_HDR_P,1.119597,0.711813,149.409000
V_VAL_VCCSA_0.002_R3C22,1.051509,0.759015,149.416000
I_VAL_VCCSA_0.002_R3C22,3.178336,0.728705,149.405000
V_VAL_VSS_VCCSA_SENSE_HDR_N,0.002965,0.000458,149.426000
V_VAL_VCC_VCCSA_SENSE_HDR_P,1.046896,0.757283,149.441000
V_VAL_VDD2_CPU_0.002_R5G2,1.079614,1.076452,18.182000
I_VAL_VDD2_CPU_0.002_R5G2,1.374547,0.353433,149.426000
V_VAL_VDDQ_CPU_0.005_R5F23,0.529919,0.524758,159.443000
I_VAL_VDDQ_CPU_0.005_R5F23,0.336183,0.051499,177.412000
V_VAL_VCCGT_PH1_0.002_R3C23,0.724328,0.171043,91.882000
I_VAL_VCCGT_PH1_0.002_R3C23,5.300301,0.392528,145.247000
V_VAL_VCCGT_PH2_0.002_R2C16,0.724228,0.171002,91.882000
I_VAL_VCCGT_PH2_0.002_R2C16,1.436236,0.026548,12.288000
V_VAL_VSS_VCCGT_SENSE_HDR_N,0.001851,0.000331,149.425000
V_VAL_VCC_VCCGT_SENSE_HDR_P,0.722817,0.170075,91.882000
V_VAL_VCCST_0.002_R3P2,0.776205,0.774658,102.439000
I_VAL_VCCST_0.002_R3P2,0.078098,0.022486,149.423000
V_VAL_VCCPRIM_VNNAON_0.001_R3D1,0.783313,0.774909,21.395000
I_VAL_VCCPRIM_VNNAON_0.001_R3D1,1.433383,0.283130,90.212000
V_VAL_VSS_VCCPRIM_VNNAON_SENSE_HDR_N,0.002097,0.000298,149.427000
V_VAL_VCC_VCCPRIM_VNNAON_SENSE_HDR_P,0.782790,0.774094,21.395000
V_VAL_VCCPRIM_VNNAON_FLTR_0.01_R4R2,0.782863,0.774412,21.395000
I_VAL_VCCPRIM_VNNAON_FLTR_0.01_R4R2,0.041932,0.013182,21.395000
